NOM_COURS_EAU,BRANCHE_COURS_EAU,NUMERO,LEN,WKT
Lapinière,Br 20,47,278.844822630117,"LINESTRING  ( 293784.46060616 5053793.43330240, 293779.47450616 5053800.01380240, 293776.94970616 5053803.24540240, 293774.91350616 5053805.85160240, 293773.71130616 5053809.10940240, 293771.57740616 5053813.98950240, 293767.38110616 5053822.79850240, 293765.70980616 5053828.37580240, 293762.47780616 5053836.59510240, 293759.73790616 5053842.68060240, 293755.93270616 5053847.76590240, 293752.86380616 5053850.40470240, 293749.20520616 5053857.45120240, 293745.77130616 5053862.49090240, 293741.92050616 5053867.20480240, 293734.71420616 5053872.99050240, 293731.20220616 5053876.62610240, 293725.35430616 5053881.96230240, 293721.41230616 5053885.93340240, 293716.83180616 5053890.07720240, 293709.62540616 5053895.86290240, 293704.22380616 5053904.06590240, 293701.37320616 5053907.71460240, 293698.72770616 5053913.03450240, 293693.96470616 5053921.06480240, 293690.34520616 5053926.12730240, 293688.63480616 5053928.31650240, 293685.65710616 5053931.69810240, 293684.11930616 5053934.52580240, 293682.69560616 5053938.28200240, 293681.28160616 5053942.88520240, 293678.76320616 5053948.47230240, 293675.96790616 5053953.33930240, 293674.00010616 5053956.50260240, 293669.97340616 5053962.08640240, 293666.50700616 5053966.09340240, 293661.96880616 5053972.11690240, 293652.20820616 5053983.96530240, 293648.20420616 5053989.73470240, 293643.44770616 5053994.74840240, 293640.01390616 5053999.78810240, 293633.20820616 5054008.06930240, 293630.19470616 5054011.92640240, 293625.22640616 5054018.28550240)"
Corbeil,Br 6c,32,143.783696347051,"LINESTRING  ( 291104.94650616 5055106.11310240, 291101.56800616 5055112.37130240, 291100.02370616 5055118.21570240, 291098.64550616 5055122.34330240, 291096.83740616 5055126.80640240, 291093.68040616 5055132.56610240, 291092.39350616 5055137.43650240, 291090.86220616 5055142.61960240, 291088.19730616 5055146.24550240, 291087.24920616 5055150.03750240, 291087.32070616 5055154.45830240, 291088.63350616 5055159.00950240, 291090.95620616 5055163.34240240, 291091.15160616 5055169.53870240, 291089.88100616 5055172.23940240, 291089.21310616 5055175.24310240, 291087.05960616 5055178.42910240, 291085.80200616 5055180.46850240, 291084.46300616 5055182.61210240, 291082.80800616 5055186.01970240, 291081.38760616 5055188.26750240, 291078.92140616 5055191.20930240, 291076.52680616 5055193.19970240, 291073.91080616 5055195.68860240, 291071.60750616 5055198.42190240, 291068.09220616 5055203.56580240, 291064.63890616 5055206.91150240, 291061.96090616 5055211.19870240, 291060.38730616 5055214.50210240, 291058.75830616 5055216.58700240, 291056.94040616 5055220.20310240, 291054.85860616 5055222.43790240, 291052.32400616 5055224.82260240, 291050.30090616 5055226.76740240, 291048.18660616 5055227.96950240, 291046.85150616 5055229.63310240)"
Paradis/Br Corbeil,Br 9c,61,983.757912057581,"LINESTRING  ( 288297.24740616 5054705.40230240, 288291.72370616 5054701.58260240, 288289.32610616 5054699.70930240, 288286.99680616 5054698.39310240, 288283.58920616 5054696.73810240, 288280.74840616 5054695.86170240, 288275.48380616 5054694.43470240, 288270.66880616 5054694.36620240, 288265.72680616 5054694.03050240, 288261.57310616 5054693.97500240, 288258.39350616 5054694.17690240, 288255.29530616 5054694.27460240, 288252.19710616 5054694.37230240, 288247.86750616 5054695.18660240, 288244.44360616 5054695.70130240, 288239.92830616 5054696.53840240, 288236.90830616 5054698.04020240, 288231.78370616 5054701.59110240, 288226.56790616 5054704.39920240, 288221.58340616 5054707.55590240, 288219.43320616 5054709.23360240, 288212.38330616 5054712.45540240, 288208.23610616 5054714.75530240, 288201.30350616 5054717.39720240, 288197.61240616 5054718.03890240, 288194.55980616 5054718.50800240, 288189.72850616 5054720.60910240, 288184.54850616 5054722.94160240, 288178.73000616 5054725.44670240, 288172.91160616 5054727.95180240, 288169.60160616 5054729.39490240, 288167.30160616 5054730.61980240, 288164.63020616 5054731.89030240, 288163.00450616 5054732.46690240, 288159.84770616 5054732.85450240, 288157.74970616 5054731.88690240, 288155.31620616 5054730.48920240, 288153.09120616 5054729.25450240, 288150.93450616 5054728.57680240, 288149.16230616 5054727.19220240, 288147.08710616 5054726.41030240, 288144.67640616 5054725.19830240, 288142.55560616 5054724.04500240, 288141.06030616 5054723.38040240, 288138.65600616 5054724.52390240, 288137.68840616 5054726.62180240, 288135.49910616 5054730.28360240, 288129.08760616 5054738.70480240, 288124.56240616 5054744.06700240, 288122.51640616 5054745.82620240, 288120.66920616 5054746.90120240, 288118.68530616 5054746.86210240, 288116.85440616 5054745.76740240, 288114.67500616 5054744.90410240, 288109.07160616 5054744.55530240, 288106.53380616 5054743.07630240, 288103.70000616 5054740.86340240, 288100.86860616 5054739.15370240, 288098.62400616 5054736.22490240, 288093.77650616 5054735.12370240, 288089.53160616 5054734.32550240, 288084.23120616 5054733.37410240, 288081.13300616 5054733.47170240, 288077.68960616 5054732.29230240, 288072.86480616 5054731.37680240, 288070.48990616 5054729.68920240, 288069.18030616 5054729.00180240, 288065.82160616 5054726.20980240, 288060.84690616 5054724.84140240, 288057.75210616 5054723.43070240, 288053.66360616 5054720.06860240, 288049.44480616 5054717.94770240, 288044.62010616 5054717.03210240, 288039.79530616 5054716.11660240, 288033.69680616 5054714.03800240, 288029.33460616 5054713.81960240, 288023.38260616 5054713.70220240, 288018.48620616 5054713.73790240, 288004.56890616 5054710.92290240, 287997.70150616 5054710.25810240, 287988.72640616 5054707.77880240, 287982.11640616 5054706.13990240, 287975.05350616 5054704.65100240, 287970.11470616 5054702.80700240, 287962.68380616 5054699.85520240, 287956.38650616 5054698.46080240, 287947.72080616 5054697.73410240, 287940.26380616 5054696.10500240, 287931.07350616 5054696.47950240, 287921.56080616 5054695.76250240, 287910.01520616 5054696.14340240, 287904.68870616 5054696.51470240, 287898.05260616 5054696.19860240, 287893.20170616 5054696.60570240, 287884.35360616 5054694.39340240, 287878.73070616 5054692.35070240, 287872.88960616 5054689.29800240, 287867.21130616 5054686.03680240, 287861.84580616 5054683.02000240, 287855.94930616 5054678.74890240, 287849.55110616 5054675.76460240, 287844.01940616 5054674.46470240, 287839.90150616 5054673.93350240, 287836.17790616 5054673.54250240, 287831.09570616 5054673.60110240, 287826.15040616 5054674.77380240, 287821.93810616 5054675.00820240, 287815.74170616 5054675.20350240, 287811.35680616 5054674.79950240, 287804.33620616 5054675.19030240, 287799.74920616 5054676.97870240, 287792.03810616 5054674.81530240, 287785.78970616 5054672.28390240, 287777.91890616 5054668.82070240, 287774.45600616 5054665.94730240, 287772.05830616 5054664.07400240, 287767.72550616 5054661.02460240, 287763.36990616 5054657.78950240, 287759.29120616 5054655.27440240, 287751.65170616 5054652.15980240, 287746.87590616 5054650.10730240, 287741.96320616 5054646.94060240, 287735.36950616 5054643.13210240, 287731.98800616 5054640.15440240, 287727.59980616 5054635.88660240, 287721.06480616 5054631.78820240, 287712.83570616 5054627.70920240, 287708.65280616 5054625.11270240, 287701.69100616 5054619.84140240, 287694.26330616 5054615.38130240, 287689.39630616 5054612.58600240, 287681.56140616 5054608.64720240, 287674.33890616 5054605.85840240, 287668.07420616 5054605.49660240, 287661.66290616 5054603.17370240, 287655.54160616 5054600.90940240, 287645.33180616 5054595.28290240, 287638.91080616 5054592.11300240, 287628.92250616 5054585.98810240, 287621.78480616 5054581.58670240, 287617.06110616 5054576.88880240, 287612.22340616 5054571.26250240, 287606.05330616 5054564.76310240, 287602.31340616 5054561.16970240, 287597.34870616 5054555.27620240, 287594.20180616 5054551.13880240, 287590.25670616 5054545.87410240, 287583.26890616 5054536.55340240, 287577.86770616 5054528.64010240, 287574.38520616 5054524.07260240, 287568.87640616 5054517.58620240, 287564.16250616 5054513.73540240, 287558.70580616 5054509.97580240, 287553.81590616 5054506.99480240, 287548.72730616 5054504.69800240, 287543.54420616 5054503.16670240, 287536.66700616 5054501.65490240, 287528.77670616 5054501.86980240, 287523.22860616 5054502.73950240, 287517.88260616 5054501.41670240, 287511.31490616 5054501.65760240, 287507.07980616 5054501.70640240, 287501.38190616 5054502.12330240, 287496.48870616 5054500.65060240, 287490.47160616 5054498.46780240, 287484.66300616 5054496.44780240, 287477.47640616 5054493.18340240, 287472.99380616 5054489.68110240, 287469.96090616 5054486.47210240, 287465.17850616 5054482.06430240, 287458.58170616 5054474.39200240, 287453.02400616 5054469.04260240, 287446.82780616 5054463.86580240, 287442.54390616 5054459.67950240, 287440.15600616 5054458.65320240, 287433.54280616 5054453.15070240)"
Paradis/Br Corbeil,Br 9b,60,958.131265438483,"LINESTRING  ( 288388.31840616 5054582.00320240, 288385.27860616 5054579.81560240, 288378.84780616 5054575.79860240, 288374.59650616 5054572.64490240, 288367.20470616 5054567.70920240, 288358.22640616 5054561.36610240, 288344.20830616 5054551.58920240, 288332.76060616 5054544.32400240, 288323.39780616 5054538.68790240, 288314.16210616 5054533.31880240, 288306.28160616 5054529.00860240, 288301.79570616 5054527.01470240, 288299.09500616 5054525.74410240, 288295.37470616 5054523.84480240, 288292.73260616 5054522.28420240, 288290.45870616 5054522.18640240, 288287.81010616 5054523.64260240, 288282.20330616 5054530.17430240, 288278.54790616 5054535.71250240, 288271.64770616 5054544.75920240, 288264.54880616 5054554.49010240, 288258.59010616 5054562.76150240, 288248.75780616 5054575.56110240, 288239.65850616 5054587.42250240, 288234.35140616 5054594.86000240, 288229.27890616 5054601.13760240, 288227.17100616 5054604.69510240, 288222.89020616 5054609.74450240, 288220.73670616 5054612.93060240, 288219.33910616 5054615.36420240, 288216.21810616 5054615.27610240, 288213.82040616 5054613.40280240, 288208.17800616 5054609.66600240, 288201.71470616 5054604.61630240, 288197.05610616 5054601.98390240, 288190.52440616 5054596.37710240, 288184.02520616 5054591.80300240, 288178.71830616 5054588.49630240, 288173.29080616 5054587.27770240, 288167.58650616 5054585.33920240, 288163.60230616 5054582.05850240, 288160.11980616 5054577.49100240, 288158.64410616 5054573.14840240, 288155.63400616 5054570.12510240, 288152.63360616 5054567.94880240, 288148.68200616 5054565.70080240, 288140.35190616 5054560.03210240, 288133.92110616 5054556.01510240, 288129.78710616 5054552.28160240, 288120.38200616 5054544.76570240, 288113.18570616 5054540.65420240, 288107.77780616 5054535.75760240, 288101.30140616 5054531.36920240, 288093.17660616 5054527.37170240, 288085.86290616 5054523.84010240, 288079.80030616 5054521.28590240, 288073.76370616 5054517.40900240, 288068.13100616 5054514.51920240, 288064.41070616 5054512.61980240, 288058.87250616 5054508.96450240, 288055.80370616 5054506.23110240, 288052.46780616 5054503.62480240, 288046.70480616 5054501.97620240, 288040.12730616 5054501.37010240, 288033.96040616 5054498.73440240, 288026.33070616 5054496.46690240, 288020.14740616 5054496.00090240, 288015.31290616 5054494.23830240, 288011.88580616 5054490.88920240, 288009.34150616 5054487.05470240, 288002.77070616 5054483.43190240, 287996.71770616 5054481.72470240, 287990.59310616 5054480.96880240, 287986.80110616 5054480.02070240, 287982.26950616 5054477.65540240, 287978.59810616 5054474.61910240, 287975.66940616 5054471.49150240, 287973.13490616 5054468.50410240, 287968.41440616 5054467.67000240, 287963.51470616 5054463.84200240, 287961.00300616 5054461.04020240, 287955.59840616 5054460.00740240, 287951.58810616 5054458.04930240, 287948.23910616 5054456.10440240, 287943.02020616 5054455.04870240, 287934.89850616 5054454.91500240, 287932.35740616 5054454.94420240, 287928.54260616 5054453.81040240, 287922.97500616 5054452.98610240, 287920.32000616 5054452.08690240, 287911.87580616 5054450.86180240, 287907.77750616 5054452.02470240, 287899.55480616 5054450.30120240, 287893.52470616 5054448.77960240, 287886.68010616 5054448.30060240, 287878.11870616 5054447.65540240, 287873.54800616 5054447.27410240, 287867.73280616 5054448.27090240, 287861.95350616 5054448.79200240, 287856.04380616 5054450.55430240, 287849.59010616 5054451.72370240, 287844.55350616 5054452.15360240, 287839.34110616 5054453.45340240, 287833.83860616 5054454.69450240, 287828.77930616 5054454.93870240, 287818.66710616 5054452.41040240, 287813.52960616 5054451.25050240, 287809.36620616 5054450.34800240, 287800.66470616 5054450.09700240, 287796.41980616 5054449.29870240, 287790.67630616 5054449.34420240, 287785.80260616 5054449.56560240, 287781.50890616 5054449.90440240, 287773.08100616 5054446.50960240, 287768.83940616 5054444.20300240, 287765.39930616 5054441.51520240, 287759.91980616 5054437.56990240, 287753.74310616 5054434.08720240, 287749.10730616 5054431.64050240, 287743.67010616 5054429.57490240, 287737.00470616 5054426.71770240, 287725.81760616 5054422.34220240, 287721.93430616 5054420.65140240, 287717.22040616 5054416.80050240, 287712.64650616 5054412.55550240, 287709.38560616 5054407.48960240, 287707.06290616 5054403.15670240, 287704.00070616 5054397.40660240, 287703.39810616 5054391.73150240, 287702.86400616 5054386.61350240, 287700.16340616 5054379.97090240, 287694.75560616 5054375.07430240, 287688.30200616 5054370.87160240, 287681.49980616 5054366.90020240, 287674.68130616 5054365.09850240, 287666.92130616 5054364.07210240, 287657.99820616 5054364.31950240, 287651.36530616 5054362.49500240, 287643.43600616 5054359.32170240, 287638.58840616 5054358.22050240, 287633.19680616 5054356.52630240, 287628.06260616 5054353.85810240, 287619.86600616 5054350.81190240, 287613.32770616 5054348.22180240, 287606.84470616 5054346.85010240, 287602.79530616 5054346.87610240, 287598.51790616 5054345.04510240, 287595.14610616 5054342.91440240, 287589.72840616 5054342.54290240)"
Paradis/Br Corbeil-Cousineau,Br 10,69,328.294780263005,"LINESTRING  ( 288746.29950616 5053720.50600240, 288750.46400616 5053713.57920240, 288757.92450616 5053702.95580240, 288763.61940616 5053693.30300240, 288770.16120616 5053683.64060240, 288774.94380616 5053677.30430240, 288783.88350616 5053664.14300240, 288795.68020616 5053649.68850240, 288806.77010616 5053634.84950240, 288815.58920616 5053623.77650240, 288823.74690616 5053612.69040240, 288831.97310616 5053602.16140240, 288839.96790616 5053591.28380240, 288846.64660616 5053582.73550240, 288860.11140616 5053564.21200240, 288872.94750616 5053546.70820240, 288878.23510616 5053537.57670240, 288882.29770616 5053531.51730240, 288885.19400616 5053528.24010240, 288887.24320616 5053524.97250240, 288890.25670616 5053521.11540240, 288893.89900616 5053516.23860240, 288896.86700616 5053512.01000240, 288903.53260616 5053504.12300240, 288909.63140616 5053495.45750240, 288920.52250616 5053481.30260240, 288927.03820616 5053472.96280240, 288932.80150616 5053463.86720240, 288939.81570616 5053455.74890240)"
Sauriol,Br 1,76,182.812777279676,"LINESTRING  ( 284247.78250616 5054743.35500240, 284250.06620616 5054743.98480240, 284252.14130616 5054744.76670240, 284254.97240616 5054744.79610240, 284257.37660616 5054743.65260240, 284259.17820616 5054742.20620240, 284261.38710616 5054740.23850240, 284264.96740616 5054737.16000240, 284267.02640616 5054734.73950240, 284268.41100616 5054732.96730240, 284270.12140616 5054730.77810240, 284271.89040616 5054728.29900240, 284273.93640616 5054726.53980240, 284275.56200616 5054725.96320240, 284278.32790616 5054723.92720240, 284280.51390616 5054721.77380240, 284282.75860616 5054719.33050240, 284285.47890616 5054716.92310240, 284287.89300616 5054716.62670240, 284289.95840616 5054716.56160240, 284294.32060616 5054716.77990240, 284297.10600616 5054716.43790240, 284299.40270616 5054716.72140240, 284302.22400616 5054715.90380240, 284305.03550616 5054714.23910240, 284307.86980616 5054712.76010240, 284309.87990616 5054711.47660240, 284312.00400616 5054711.12150240, 284315.10210616 5054711.02390240, 284318.06020616 5054711.32040240, 284322.52660616 5054711.62020240, 284327.27320616 5054711.13170240, 284330.88290616 5054710.59420240, 284333.37840616 5054710.19350240, 284336.16380616 5054709.85150240, 284337.87090616 5054709.17070240, 284339.82230616 5054708.17710240, 284342.23960616 5054706.37240240, 284344.34420616 5054704.32320240, 284346.48130616 5054703.30690240, 284349.75540616 5054702.33940240, 284351.86000616 5054700.29030240, 284353.47590616 5054698.86670240, 284355.72060616 5054696.42340240, 284358.92960616 5054693.39040240, 284362.06690616 5054691.30880240, 284364.64380616 5054690.80390240, 284369.06790616 5054689.22390240, 284372.79480616 5054688.10660240, 284376.30020616 5054687.48770240, 284379.57430616 5054686.52020240, 284383.62710616 5054684.98590240, 284386.48420616 5054683.69260240, 284388.78090616 5054683.97610240, 284392.25050616 5054683.83280240, 284395.00980616 5054684.81350240, 284398.19910616 5054685.45860240, 284402.06290616 5054685.45540240, 284405.44120616 5054684.56940240, 284409.37670616 5054683.61490240)"
Vivian,Br 4,87,92.50424274315150,"LINESTRING  ( 285119.04520616 5056958.33440240, 285116.85310616 5056959.49590240, 285115.64450616 5056960.39830240, 285114.59870616 5056961.09220240, 285113.12290616 5056962.12160240, 285113.40960616 5056963.68860240, 285113.30200616 5056965.11560240, 285112.18460616 5056966.76070240, 285111.31140616 5056968.09310240, 285110.25260616 5056969.44830240, 285108.11220616 5056971.97310240, 285105.91640616 5056973.27940240, 285105.13780616 5056973.84620240, 285103.28090616 5056974.07430240, 285100.89290616 5056973.04800240, 285099.06210616 5056971.95330240, 285096.97710616 5056970.32440240, 285094.44910616 5056969.69230240, 285092.48790616 5056969.83890240, 285089.63080616 5056971.13220240, 285087.27210616 5056972.64700240, 285085.36630616 5056974.01200240, 285083.86770616 5056974.85570240, 285081.40810616 5056974.78070240, 285079.76290616 5056973.66330240, 285078.48580616 5056974.00860240, 285076.33890616 5056974.17790240, 285074.56670616 5056972.79330240, 285071.40350616 5056970.82550240, 285069.79420616 5056969.23240240, 285067.98280616 5056969.83180240, 285065.95970616 5056971.77670240, 285063.79970616 5056972.60740240, 285061.75710616 5056972.85820240, 285059.54180616 5056972.47050240, 285057.87390616 5056971.16730240, 285054.95160616 5056970.39510240, 285052.88290616 5056971.96860240, 285051.77850616 5056972.95240240, 285050.09420616 5056973.81900240, 285048.02880616 5056973.88410240, 285043.73500616 5056974.22280240, 285042.24940616 5056974.40520240)"
,Br 2,82,265.755454598486,"LINESTRING  ( 284562.38920616 5056288.17230240, 284559.72110616 5056287.93440240, 284557.36570616 5056287.94090240, 284554.37180616 5056288.12000240, 284551.46910616 5056289.04190240, 284549.43620616 5056290.13970240, 284546.53350616 5056291.06160240, 284544.64070616 5056291.76520240, 284540.40560616 5056291.81400240, 284536.76340616 5056291.31880240, 284532.94850616 5056290.18500240, 284530.47590616 5056290.77130240, 284526.92490616 5056291.01880240, 284517.13520616 5056289.58190240, 284511.14740616 5056289.94010240, 284506.07830616 5056289.33730240, 284499.36400616 5056287.61710240, 284494.68910616 5056287.15440240, 284489.92300616 5056285.94890240, 284481.95780616 5056283.25130240, 284476.28930616 5056280.83710240, 284466.86460616 5056276.99920240, 284461.53160616 5056275.01510240, 284456.28990616 5056273.77380240, 284450.42260616 5056272.04380240, 284448.13890616 5056271.09900240, 284446.51660616 5056270.16720240, 284443.85170616 5056268.42100240, 284441.73090616 5056267.26760240, 284439.64600616 5056265.63870240, 284437.38840616 5056263.37120240, 284435.85080616 5056260.82690240, 284433.45310616 5056258.95360240, 284431.29970616 5056256.76760240, 284428.38080616 5056254.48700240, 284426.04180616 5056252.32380240, 284424.11970616 5056250.48640240, 284422.74170616 5056249.24190240, 284422.08360616 5056247.72050240, 284421.72860616 5056245.59640240, 284420.92070616 5056243.62220240, 284419.36030616 5056240.89210240, 284418.40250616 5056238.46500240, 284415.98210616 5056236.40600240, 284414.13170616 5056233.61730240, 284412.48980616 5056230.99150240, 284409.86080616 5056228.76960240, 284406.67480616 5056226.61620240, 284403.74280616 5056224.99700240, 284402.68730616 5056224.84380240, 284399.04510616 5056224.34860240, 284396.23040616 5056222.14950240, 284393.53300616 5056219.37060240, 284391.41550616 5056216.70890240, 284385.48310616 5056212.91340240, 284382.81830616 5056211.16720240, 284378.94810616 5056208.81500240, 284375.07130616 5056209.47950240, 284370.03810616 5056208.40110240, 284367.03110616 5056209.24150240, 284364.22290616 5056209.39780240, 284360.30050616 5056209.69090240, 284354.83390616 5056210.45640240, 284350.43590616 5056210.71370240, 284346.96960616 5056209.34860240, 284341.61390616 5056207.17880240, 284336.52200616 5056206.39030240, 284333.41410616 5056205.64090240, 284332.58010616 5056204.98930240, 284331.27050616 5056204.30190240, 284329.45990616 5056203.50020240)"
Parizeau,Br 5a,123,165.562598654755,"LINESTRING  ( 284421.50360616 5051526.09800240, 284419.56830616 5051525.25420240, 284417.70160616 5051524.63520240, 284414.74350616 5051524.33870240, 284408.27030616 5051523.81410240, 284402.22710616 5051522.95390240, 284395.67240616 5051522.53350240, 284387.11100616 5051521.88820240, 284380.75510616 5051520.78370240, 284373.30780616 5051520.00170240, 284368.38850616 5051519.85170240, 284362.28670616 5051519.28140240, 284357.81050616 5051518.13460240, 284350.25900616 5051517.27110240, 284344.93580616 5051516.13400240, 284338.12700616 5051515.17940240, 284333.71920616 5051514.58960240, 284328.27870616 5051514.03240240, 284319.74340616 5051512.06450240, 284312.71640616 5051510.09990240, 284305.68930616 5051508.13530240, 284299.40180616 5051507.58790240, 284294.19590616 5051505.87090240, 284286.45220616 5051502.67480240, 284280.02790616 5051501.01320240, 284276.18050616 5051498.84670240, 284271.78580616 5051497.59560240, 284268.56380616 5051495.91780240, 284262.51090616 5051494.21060240, 284260.29560616 5051493.82280240)"
Vivian,Br 5,89,226.700151047443,"LINESTRING  ( 285024.58910616 5056705.88620240, 285021.96920616 5056705.85830240, 285020.79640616 5056706.28500240, 285018.72120616 5056705.50310240, 285017.18030616 5056704.46710240, 285015.82510616 5056703.40830240, 285014.93570616 5056701.53830240, 285015.04330616 5056700.11140240, 285014.72410616 5056697.51170240, 285014.45050616 5056695.28330240, 285012.63270616 5056693.52730240, 285011.95180616 5056691.82020240, 285011.34270616 5056689.16190240, 285010.62930616 5056686.42200240, 285010.33620616 5056682.49970240, 285009.51850616 5056679.67840240, 285009.97790616 5056676.51180240, 285009.82160616 5056673.70360240, 285009.14410616 5056670.48820240, 285007.90940616 5056667.34110240, 285006.74980616 5056661.73440240, 285005.32300616 5056656.25480240, 285003.31960616 5056649.14950240, 285001.37160616 5056643.26260240, 285000.01650616 5056636.83170240, 284997.63840616 5056631.28040240, 284993.62180616 5056621.59490240, 284988.42920616 5056608.47240240, 284984.02810616 5056599.49390240, 284980.13850616 5056590.07550240, 284975.00120616 5056578.17140240, 284969.81840616 5056565.89600240, 284965.21850616 5056557.60150240, 284962.92520616 5056550.43760240, 284959.65780616 5056543.01630240, 284955.72580616 5056537.09030240, 284950.53630616 5056527.83150240, 284946.72490616 5056519.81730240, 284944.18070616 5056515.98280240, 284939.78270616 5056510.86800240, 284935.10800616 5056505.03320240)"
